sut,metric,algorithm,samplingstrategy,cts,repetition,time,iterations
ByteCount,StringLength,bcs,bituniform,true,1,30,5102
ByteCount,StringLength,bcs,bituniform,true,2,30,4526
ByteCount,StringLength,bcs,bituniform,true,3,30,5054
ByteCount,StringLength,bcs,bituniform,true,4,30,4822
ByteCount,StringLength,bcs,bituniform,true,5,30,4485
ByteCount,StringLength,bcs,bituniform,true,1,60,9072
ByteCount,StringLength,bcs,bituniform,true,2,60,9814
ByteCount,StringLength,bcs,bituniform,true,3,60,9184
ByteCount,StringLength,bcs,bituniform,true,4,60,9520
ByteCount,StringLength,bcs,bituniform,true,5,60,10249
ByteCount,StringLength,bcs,bituniform,false,1,30,1995
ByteCount,StringLength,bcs,bituniform,false,2,30,1940
ByteCount,StringLength,bcs,bituniform,false,3,30,2080
ByteCount,StringLength,bcs,bituniform,false,4,30,2048
ByteCount,StringLength,bcs,bituniform,false,5,30,2043
ByteCount,StringLength,bcs,bituniform,false,1,60,3899
ByteCount,StringLength,bcs,bituniform,false,2,60,4168
ByteCount,StringLength,bcs,bituniform,false,3,60,3860
ByteCount,StringLength,bcs,bituniform,false,4,60,3786
ByteCount,StringLength,bcs,bituniform,false,5,60,3813
ByteCount,StringLength,bcs,uniform,true,1,30,2732
ByteCount,StringLength,bcs,uniform,true,2,30,2564
ByteCount,StringLength,bcs,uniform,true,3,30,2554
ByteCount,StringLength,bcs,uniform,true,4,30,2683
ByteCount,StringLength,bcs,uniform,true,5,30,2511
ByteCount,StringLength,bcs,uniform,true,1,60,5075
ByteCount,StringLength,bcs,uniform,true,2,60,5553
ByteCount,StringLength,bcs,uniform,true,3,60,5365
ByteCount,StringLength,bcs,uniform,true,4,60,5189
ByteCount,StringLength,bcs,uniform,true,5,60,4708
ByteCount,StringLength,bcs,uniform,false,1,30,736
ByteCount,StringLength,bcs,uniform,false,2,30,804
ByteCount,StringLength,bcs,uniform,false,3,30,798
ByteCount,StringLength,bcs,uniform,false,4,30,778
ByteCount,StringLength,bcs,uniform,false,5,30,822
ByteCount,StringLength,bcs,uniform,false,1,60,1573
ByteCount,StringLength,bcs,uniform,false,2,60,1592
ByteCount,StringLength,bcs,uniform,false,3,60,1552
ByteCount,StringLength,bcs,uniform,false,4,60,1592
ByteCount,StringLength,bcs,uniform,false,5,60,1578
ByteCount,StringLength,lns,bituniform,true,1,30,486334
ByteCount,StringLength,lns,bituniform,true,2,30,471911
ByteCount,StringLength,lns,bituniform,true,3,30,489281
ByteCount,StringLength,lns,bituniform,true,4,30,482699
ByteCount,StringLength,lns,bituniform,true,5,30,482959
ByteCount,StringLength,lns,bituniform,true,1,60,912276
ByteCount,StringLength,lns,bituniform,true,2,60,979082
ByteCount,StringLength,lns,bituniform,true,3,60,975869
ByteCount,StringLength,lns,bituniform,true,4,60,983657
ByteCount,StringLength,lns,bituniform,true,5,60,991249
ByteCount,StringLength,lns,bituniform,false,1,30,185276
ByteCount,StringLength,lns,bituniform,false,2,30,185705
ByteCount,StringLength,lns,bituniform,false,3,30,185093
ByteCount,StringLength,lns,bituniform,false,4,30,183082
ByteCount,StringLength,lns,bituniform,false,5,30,184220
ByteCount,StringLength,lns,bituniform,false,1,60,368414
ByteCount,StringLength,lns,bituniform,false,2,60,369986
ByteCount,StringLength,lns,bituniform,false,3,60,372255
ByteCount,StringLength,lns,bituniform,false,4,60,376450
ByteCount,StringLength,lns,bituniform,false,5,60,378592
ByteCount,StringLength,lns,uniform,true,1,30,266019
ByteCount,StringLength,lns,uniform,true,2,30,265652
ByteCount,StringLength,lns,uniform,true,3,30,265203
ByteCount,StringLength,lns,uniform,true,4,30,265914
ByteCount,StringLength,lns,uniform,true,5,30,263588
ByteCount,StringLength,lns,uniform,true,1,60,544744
ByteCount,StringLength,lns,uniform,true,2,60,530492
ByteCount,StringLength,lns,uniform,true,3,60,534797
ByteCount,StringLength,lns,uniform,true,4,60,538777
ByteCount,StringLength,lns,uniform,true,5,60,543202
ByteCount,StringLength,lns,uniform,false,1,30,87733
ByteCount,StringLength,lns,uniform,false,2,30,88341
ByteCount,StringLength,lns,uniform,false,3,30,88259
ByteCount,StringLength,lns,uniform,false,4,30,87548
ByteCount,StringLength,lns,uniform,false,5,30,87870
ByteCount,StringLength,lns,uniform,false,1,60,175588
ByteCount,StringLength,lns,uniform,false,2,60,175861
ByteCount,StringLength,lns,uniform,false,3,60,175807
ByteCount,StringLength,lns,uniform,false,4,60,175535
ByteCount,StringLength,lns,uniform,false,5,60,176691
